welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,demo.block_1/age,demo.block_1/gender,demo.block_1/handedness,demo.block_1/education,demo.block_1/experience,demo.block_1/pe3,demo.block_1/fatigue,demo.block_1/attention,miq.block_1/miq1.miq1,miq.block_1/miq2.miq2,miq.block_1/miq3.miq3,miq.block_1/miq4.miq4,miq.block_1/miq5.miq5,miq.block_1/miq6.miq6,miq.block_1/miq_attention_check.attention_check,miq.block_1/miq7.miq7,miq.block_1/miq8.miq8,miq.block_1/miq9.miq9,miq.block_1/miq10.miq10,miq.block_1/miq11.miq11,miq.block_1/miq12.miq12,bye.started,bye.stopped
0.0002,0.9259,space,0.9068,,023,001,2025-04-22_19h57.24.986,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,
,,,,,023,001,2025-04-22_19h57.24.986,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,18,Femme,left,secondary,FALSE,FALSE,4,7,,,,,,,,,,,,,,,
,,,,,023,001,2025-04-22_19h57.24.986,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,5,6,7,7,7,7,3,6,5,6,6,5,6,,
,,,,,023,001,2025-04-22_19h57.24.986,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,619.5355,622.5396
