welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,demo.block_1/age,demo.block_1/gender,demo.block_1/education,demo.block_1/handedness,demo.block_1/experience,demo.block_1/pe3,demo.block_1/explication,demo.block_1/fatigue,demo.block_1/attention,miq.block_1/miq1.miq1,miq.block_1/miq2.miq2,miq.block_1/miq3.miq3,miq.block_1/miq4.miq4,miq.block_1/miq5.miq5,miq.block_1/miq6.miq6,miq.block_1/miq_attention_check.attention_check,miq.block_1/miq7.miq7,miq.block_1/miq8.miq8,miq.block_1/miq9.miq9,miq.block_1/miq10.miq10,miq.block_1/miq11.miq11,miq.block_1/miq12.miq12,bye.started,bye.stopped
0.0002,1.0392,space,1.0242,,009,001,2025-04-07_13h33.06.584,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,009,001,2025-04-07_13h33.06.584,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,22,Homme,graduate,right,TRUE,FALSE,Pour le basket visualisation lancer franc,5,8,,,,,,,,,,,,,,,
,,,,,009,001,2025-04-07_13h33.06.584,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,,5,3,7,4,6,7,3,5,5,7,4,5,6,,
,,,,,009,001,2025-04-07_13h33.06.584,PsychoPy_ExpMarche,2024.2.0,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,599.2814,602.2711
